variant,sharpe,ann,vol,maxdd
reversal q1%,0.6846390958314884,2.5082455530851258,3.66360257302993,-4.311321656504541
reversal q1.5%,0.5886069798386357,2.6599616083024418,4.519079282803713,-5.609819299241192
reversal q2%,0.3780910888055894,1.8914050171248193,5.002511492931168,-6.930476676740671
score_ens q2% (every day),0.3780910888055894,1.8914050171248193,5.002511492931168,-6.930476676740671
reversal q2% invvol,0.2486770113387195,1.1462576061476422,4.6094232835472715,-6.526180739582877
reversal q2% + voltarget,0.24622892667731158,1.4487800033750335,5.883874096050834,-9.997140804402548
flow q1%,0.11729416783990648,0.6034291707157455,5.144579494688597,-11.944732554413228
score_combined q2% (every day),0.10389291867324658,0.505114449074572,4.861875626607494,-8.316359328529465
2book rev2%+flow2% (wf=0.3),0.04525278393431953,0.18143499827499457,4.0093665516431365,-10.032209636414658
reversal q3%,-0.05176211545889139,-0.2780650101366673,5.371979249138337,-15.514419693300031
2book rev2%+flow2% (wf=0.4),-0.10139945892958888,-0.3885550080082808,3.8319238791805668,-12.018155457856029
2book rev2%+flow3% (wf=0.3),-0.12803785254349306,-0.5001562112333499,3.906315213022276,-13.457267953982354
2book rev2%+flow5% (wf=0.3),-0.24411272786645105,-0.9374199531082819,3.8401109245771265,-14.809853261653828
2book rev2%+flow2% (wf=0.5),-0.2553782538910177,-0.9585450142915554,3.7534324073678302,-14.232691183961476
2book rev2%+flow3% (wf=0.4),-0.35434593432029526,-1.2973432873527402,3.6612337314982835,-17.061183860225004
2book(0.6/0.4) ,-0.35434593432029526,-1.2973432873527402,3.6612337314982835,-17.061183860225004
reversal q5%,-0.4153332852106233,-2.1054804879071867,5.069375758890738,-21.40099001491832
2book(0.6/0.4) + voltarget,-0.4859246044230775,-2.6237323817341043,5.399463945336081,-29.595915939425755
2book rev2%+flow5% (wf=0.4),-0.5330344207521115,-1.8803616098526492,3.5276551319133564,-19.95059544643357
2book rev2%+flow3% (wf=0.5),-0.598430642218234,-2.094530363472129,3.5000386272137147,-21.302935773347333
score_flow q2% (every day),-0.7932431350003538,-3.808495045707929,4.8011698780175776,-34.48365631543601
flow q2%,-0.7932431350003538,-3.808495045707929,4.8011698780175776,-34.48365631543601
2book rev2%+flow5% (wf=0.5),-0.8629351934211505,-2.8233032665970157,3.271744260891581,-26.6167476830137
flow q3%,-1.4754665613993918,-6.080465744069078,4.121046117305513,-46.62225580682199
