year,OK,ADV_FAIL,MCAP_FAIL,PRICE_FAIL,VOL_FAIL,EARN_WINDOW
2010,117816,17523,114912,647,41,1061
2011,129553,22625,97020,751,147,1903
2012,127006,24897,95749,411,137,1799
2013,141286,28954,79884,0,134,1741
2014,156410,42915,49644,434,132,2465
2015,167037,43312,37044,387,61,4157
2016,170848,39000,37043,366,292,4449
2017,182837,50621,11797,601,250,4894
2018,200559,44222,0,439,256,5523
2019,197956,45720,1512,1048,307,5452
2020,192969,42391,0,738,11285,5617
2021,215323,29733,0,4,618,6322
2022,217435,25323,0,304,1287,6650
2023,220671,21444,0,363,588,6919
2024,230517,12927,0,108,1039,7409
