year,ranking_date,selected_names,mid_year_exits,median_selected_mcap
2010,2009-12-31,1000,0,2378309717.565
2011,2010-12-31,1000,0,3162105490.1476
2012,2011-12-30,1000,0,3184492660.9849997
2013,2012-12-31,1000,0,3774231497.4487495
2014,2013-12-31,1000,0,5278602067.92
2015,2014-12-31,1000,0,5940291926.385
2016,2015-12-31,1000,0,5969713643.12
2017,2016-12-30,1000,0,6845951954.139999
2018,2017-12-29,1000,0,8499868362.49
2019,2018-12-31,1000,0,7302795825.0
2020,2019-12-31,1000,0,9440463890.915
2021,2020-12-31,1000,0,11303004808.689999
2022,2021-12-31,1000,0,13914883942.725
2023,2022-12-30,1000,0,11112083749.76
2024,2023-12-29,1000,0,12888607395.4
